population,health,mating_cooldown_seconds,reproduction_time_seconds,grow_into_adult_duration_seconds
54,99.77778,60.22222,5.000446,99.87037
58,99.46552,60.37931,5.025992,99.81035
59,99.38983,60.49152,5.037937,99.74577
59,99.38983,60.49152,5.037937,99.74577
59,99.38983,60.49152,5.037937,99.74577
60,99.3,60.53333,5.046336,99.75
60,99.3,60.53333,5.046336,99.75
60,99.3,60.53333,5.046336,99.75
61,99.34426,60.52459,5.052447,99.7541
62,99.40323,60.62903,5.052669,99.74194
62,99.40323,60.62903,5.052669,99.74194
63,99.36508,60.68254,5.060613,99.66666
63,99.36508,60.68254,5.060613,99.66666
64,99.3125,60.71875,5.071046,99.64063
55,99.98182,60.90909,5.087108,99.50909
47,99.89362,61.17021,5.082007,99.44681
46,99.78261,61.19565,5.09306,99.45652
46,99.80434,61.06522,5.076333,99.45652
46,99.80434,61.06522,5.076333,99.45652
46,99.80434,61.06522,5.076333,99.45652
47,99.6383,60.93617,5.09357,99.3617
49,99.55102,60.83673,5.11401,99.2653
48,99.58334,60.89583,5.100544,99.25
48,99.52084,60.875,5.099603,99.25
48,99.52084,60.875,5.099603,99.25
47,99.46809,60.80851,5.109882,99.23404
47,99.46809,60.80851,5.109882,99.23404
46,99.5,60.73913,5.130665,99.17391
45,99.46667,60.75555,5.141139,99.15556
42,99.38095,60.59524,5.162292,99.21429
41,99.2683,60.53659,5.169491,99.19512
37,99.4054,60.27027,5.16061,99.29729
38,99.47369,60.15789,5.152648,99.31579
36,99.58334,60.11111,5.17124,99.27778
34,99.17647,60.02941,5.167547,99.23529
32,98.96875,59.90625,5.181836,99.3125
30,99.16666,59.96667,5.19755,99.26667
29,99.03448,60.03448,5.193021,99.24138
24,99,60.375,5.183379,99.08334
23,99.13043,60.13044,5.177007,99.04348
21,99.42857,60.57143,5.163275,99.19048
21,99.42857,60.57143,5.163275,99.19048
20,99.35,60.55,5.150571,99.25
20,99.35,60.55,5.150571,99.25
19,99.21053,60.78947,5.150234,99.21053
15,99.26667,60.33333,5.153597,99.6
14,99,60.07143,5.140184,99.57143
14,99,60.07143,5.140184,99.57143
13,99.30769,60.46154,5.120173,99.61539
13,99.30769,60.46154,5.120173,99.61539
12,99.5,60.91667,5.098218,99.58334
12,99.5,60.91667,5.098218,99.58334
10,99.4,61.3,5.141586,99.5
7,100.5714,60.85714,5.094253,100
6,101.1667,60.83333,5.082057,100
5,101,60.8,5.053208,100
5,101,60.8,5.053208,100
4,101.25,61.25,5.134169,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
2,104,62,4.814444,100
1,104,64,4.66227,100
1,104,64,4.66227,100
1,104,64,4.66227,100
1,104,64,4.66227,100
1,104,64,4.66227,100
1,104,64,4.66227,100
